X,Y,R,T,long
-1.7484e-09,-1.11414e-11,1.72714e-09,-179.634,517
-1.73385e-09,-1.22782e-11,1.71247e-09,-179.592,516
-1.71702e-09,-1.26193e-11,1.69565e-09,-179.58,515
-1.69951e-09,-1.34151e-11,1.67814e-09,-179.55,514
-1.68178e-09,-1.36425e-11,1.6604e-09,-179.532,513
-1.66325e-09,-1.38698e-11,1.64187e-09,-179.52,512
-1.64301e-09,-1.29604e-11,1.62152e-09,-179.556,511
-1.62198e-09,-1.25056e-11,1.60049e-09,-179.562,510
-1.60015e-09,-1.17098e-11,1.57844e-09,-179.58,509
-1.57707e-09,-1.11414e-11,1.55547e-09,-179.604,508
-1.5532e-09,-9.89081e-12,1.53148e-09,-179.64,507
-1.52966e-09,-8.64026e-12,1.50795e-09,-179.682,506
-1.50624e-09,-7.95813e-12,1.48442e-09,-179.706,505
-1.48396e-09,-7.1623e-12,1.46225e-09,-179.73,504
-1.46145e-09,-5.91174e-12,1.43974e-09,-179.778,503
-1.43871e-09,-4.43381e-12,1.41689e-09,-179.826,502
-1.41473e-09,-2.84218e-12,1.3929e-09,-179.892,501
-1.39142e-09,-2.61481e-12,1.36971e-09,-179.892,500
-1.36732e-09,-2.04638e-12,1.3456e-09,-179.922,499
-1.34526e-09,-1.819e-12,1.32366e-09,-179.922,498
-1.32332e-09,-1.59162e-12,1.30161e-09,-179.94,497
-1.304e-09,-2.16006e-12,1.28262e-09,-179.916,496
-1.2866e-09,-1.819e-12,1.26489e-09,-179.916,495
-1.26568e-09,-3.63801e-12,1.24408e-09,-179.838,494
-1.24783e-09,-4.20644e-12,1.22635e-09,-179.814,493
-1.22851e-09,-4.5475e-12,1.20702e-09,-179.784,492
-1.20964e-09,-5.79806e-12,1.18803e-09,-179.73,491
-1.19429e-09,-7.73076e-12,1.17291e-09,-179.628,490
-1.18008e-09,-8.75394e-12,1.1587e-09,-179.574,489
-1.16541e-09,-9.43606e-12,1.14404e-09,-179.538,488
-1.15313e-09,-1.06866e-11,1.1321e-09,-179.472,487
-1.14154e-09,-1.15961e-11,1.1205e-09,-179.418,486
-1.13403e-09,-1.21645e-11,1.11311e-09,-179.388,485
-1.12755e-09,-1.3074e-11,1.10663e-09,-179.34,484
-1.12266e-09,-1.29604e-11,1.10186e-09,-179.34,483
-1.1196e-09,-1.26193e-11,1.09913e-09,-179.364,482
-1.12312e-09,-1.25056e-11,1.10231e-09,-179.364,481
-1.12255e-09,-1.20509e-11,1.10209e-09,-179.382,480
-1.12835e-09,-1.10277e-11,1.108e-09,-179.448,479
-1.13722e-09,-1.06866e-11,1.11698e-09,-179.472,478
-1.14949e-09,-8.98132e-12,1.12937e-09,-179.562,477
-1.16678e-09,-8.07182e-12,1.14677e-09,-179.61,476
-1.18633e-09,-6.36649e-12,1.16655e-09,-179.7,475
-1.21191e-09,-5.91174e-12,1.19224e-09,-179.73,474
-1.23953e-09,-3.86538e-12,1.22009e-09,-179.826,473
-1.27137e-09,-2.84218e-12,1.25215e-09,-179.88,472
-1.30945e-09,-1.47794e-12,1.29058e-09,-179.94,471
-1.35345e-09,-7.95811e-13,1.33458e-09,-179.964,470
-1.40006e-09,-4.54751e-13,1.38153e-09,-179.988,469
-1.45327e-09,-2.27375e-13,1.43485e-09,-179.988,468
-1.50727e-09,-3.41062e-13,1.48896e-09,-179.988,467
-1.56513e-09,-1.36425e-12,1.54683e-09,-179.946,466
-1.62266e-09,-2.16006e-12,1.60424e-09,-179.922,465
-1.68144e-09,-3.41062e-12,1.66347e-09,-179.886,464
-1.74055e-09,-5.00225e-12,1.72248e-09,-179.832,463
-1.80786e-09,-7.50339e-12,1.79012e-09,-179.76,462
-1.87983e-09,-9.20869e-12,1.8622e-09,-179.718,461
-1.95202e-09,-1.10277e-11,1.93451e-09,-179.676,460
-2.02591e-09,-1.36425e-11,2.00863e-09,-179.616,459
-2.10015e-09,-1.47794e-11,2.08264e-09,-179.598,458
-2.17268e-09,-1.56889e-11,2.15495e-09,-179.586,457
-2.18439e-09,-1.76216e-11,2.18428e-09,-179.55,456
-2.18439e-09,-1.79626e-11,2.18428e-09,-179.556,455
-2.18439e-09,-1.819e-11,2.18428e-09,-179.568,454
