X,Y,R,T,long
-9.34968e-10,-6.82124e-12,8.32646e-10,-179.616,591
-9.53158e-10,-6.36649e-12,8.50381e-10,-179.622,590
-9.71347e-10,-6.82124e-12,8.68571e-10,-179.61,589
-9.87718e-10,-7.73076e-12,8.85397e-10,-179.574,588
-1.00682e-09,-7.73076e-12,9.04496e-10,-179.562,587
-1.02228e-09,-9.095e-12,9.19957e-10,-179.496,586
-1.0391e-09,-9.095e-12,9.36332e-10,-179.502,585
-1.05502e-09,-1.00045e-11,9.52248e-10,-179.478,584
-1.07003e-09,-1.0914e-11,9.668e-10,-179.43,583
-1.08503e-09,-1.04592e-11,9.82261e-10,-179.454,582
-1.10141e-09,-1.04592e-11,9.98632e-10,-179.46,581
-1.12232e-09,-1.04592e-11,1.01955e-09,-179.472,580
-1.13869e-09,-1.0914e-11,1.03592e-09,-179.466,579
-1.15597e-09,-1.04592e-11,1.0532e-09,-179.49,578
-1.17189e-09,-1.00045e-11,1.06912e-09,-179.514,577
-1.18917e-09,-1.00045e-11,1.08685e-09,-179.538,576
-1.206e-09,-9.095e-12,1.10322e-09,-179.574,575
-1.22464e-09,-9.095e-12,1.12232e-09,-179.58,574
-1.24101e-09,-9.095e-12,1.13869e-09,-179.616,573
-1.25875e-09,-6.82124e-12,1.15643e-09,-179.694,572
-1.27694e-09,-6.36649e-12,1.17416e-09,-179.718,571
-1.29285e-09,-6.36649e-12,1.19008e-09,-179.718,570
-1.30832e-09,-5.91174e-12,1.20554e-09,-179.754,569
-1.32651e-09,-5.91174e-12,1.22373e-09,-179.754,568
-1.34106e-09,-5.457e-12,1.23783e-09,-179.772,567
-1.35652e-09,-5.00225e-12,1.25375e-09,-179.79,566
-1.38062e-09,-5.00225e-12,1.27785e-09,-179.808,565
-1.39153e-09,-5.457e-12,1.28876e-09,-179.778,564
-1.40745e-09,-6.36649e-12,1.30513e-09,-179.754,563
-1.42837e-09,-6.36649e-12,1.3256e-09,-179.748,562
-1.43974e-09,-7.27601e-12,1.33696e-09,-179.724,561
-1.45429e-09,-7.73076e-12,1.35152e-09,-179.7,560
-1.46975e-09,-8.64026e-12,1.36743e-09,-179.664,559
-1.48794e-09,-9.095e-12,1.38562e-09,-179.652,558
-1.50295e-09,-1.04592e-11,1.40017e-09,-179.61,557
-1.52114e-09,-1.13687e-11,1.41791e-09,-179.574,556
-1.53478e-09,-1.13687e-11,1.43155e-09,-179.58,555
-1.5466e-09,-1.2733e-11,1.44383e-09,-179.532,554
-1.56115e-09,-1.2733e-11,1.45838e-09,-179.526,553
-1.57434e-09,-1.2733e-11,1.47157e-09,-179.538,552
-1.58662e-09,-1.31877e-11,1.48385e-09,-179.532,551
-1.60026e-09,-1.31877e-11,1.49749e-09,-179.538,550
-1.61436e-09,-1.36425e-11,1.51159e-09,-179.526,549
-1.62937e-09,-1.22782e-11,1.52614e-09,-179.58,548
-1.63664e-09,-1.18235e-11,1.53342e-09,-179.592,547
-1.64346e-09,-1.0914e-11,1.54069e-09,-179.628,546
-1.65802e-09,-1.00045e-11,1.55479e-09,-179.664,545
-1.66666e-09,-9.095e-12,1.56388e-09,-179.712,544
-1.67621e-09,-7.73076e-12,1.57298e-09,-179.748,543
-1.68757e-09,-6.36649e-12,1.58435e-09,-179.784,542
-1.69803e-09,-5.91174e-12,1.59526e-09,-179.808,541
-1.70895e-09,-5.00225e-12,1.60572e-09,-179.844,540
-1.71941e-09,-5.00225e-12,1.61618e-09,-179.844,539
-1.72896e-09,-4.5475e-12,1.62573e-09,-179.856,538
-1.73714e-09,-5.00225e-12,1.63391e-09,-179.844,537
-1.7426e-09,-4.5475e-12,1.63892e-09,-179.856,536
-1.72395e-09,-1.2733e-11,1.60708e-09,-179.442,535
-1.73669e-09,-1.00045e-11,1.63482e-09,-179.706,534
-1.76033e-09,-6.36649e-12,1.65756e-09,-179.796,533
-1.76897e-09,-6.82124e-12,1.66529e-09,-179.784,532
-1.78125e-09,-7.73076e-12,1.67893e-09,-179.766,531
-1.7958e-09,-8.64026e-12,1.69212e-09,-179.736,530
-1.79399e-09,-1.00045e-11,1.69121e-09,-179.682,529
-1.79899e-09,-1.13687e-11,1.69531e-09,-179.64,528
-1.79535e-09,-1.2733e-11,1.69167e-09,-179.61,527
-1.79262e-09,-1.31877e-11,1.68894e-09,-179.586,526
-1.7908e-09,-1.36425e-11,1.68757e-09,-179.574,525
-1.79035e-09,-1.4552e-11,1.68712e-09,-179.544,524
-1.79035e-09,-1.50068e-11,1.68667e-09,-179.532,523
-1.78535e-09,-1.4552e-11,1.68166e-09,-179.538,522
-1.77807e-09,-1.40972e-11,1.67484e-09,-179.562,521
-1.77079e-09,-1.40972e-11,1.66711e-09,-179.55,520
-1.76215e-09,-1.31877e-11,1.65847e-09,-179.58,519
-1.75306e-09,-1.2733e-11,1.64892e-09,-179.61,518
-1.74396e-09,-1.18235e-11,1.63983e-09,-179.616,517
-1.73396e-09,-9.095e-12,1.62982e-09,-179.706,516
-1.72486e-09,-9.095e-12,1.62118e-09,-179.712,515
-1.71531e-09,-6.82124e-12,1.61163e-09,-179.778,514
-1.70485e-09,-5.91174e-12,1.60117e-09,-179.808,513
-1.69621e-09,-5.91174e-12,1.5939e-09,-179.808,512
-1.75988e-09,-5.00225e-12,1.65711e-09,-179.85,511
-1.68212e-09,-4.09275e-12,1.57707e-09,-179.886,510
-1.64528e-09,-1.2733e-11,1.54115e-09,-179.574,509
-1.64301e-09,-4.5475e-12,1.53887e-09,-179.85,508
-1.61982e-09,-9.095e-12,1.51659e-09,-179.706,507
-1.613e-09,-4.09275e-12,1.50886e-09,-179.856,506
-1.60026e-09,-4.09275e-12,1.49658e-09,-179.868,505
-1.58298e-09,-5.00225e-12,1.47885e-09,-179.82,504
-1.56206e-09,-7.27601e-12,1.45793e-09,-179.742,503
-1.5507e-09,-7.73076e-12,1.44656e-09,-179.718,502
-1.53296e-09,-8.64026e-12,1.42882e-09,-179.688,501
-1.51523e-09,-9.54975e-12,1.41154e-09,-179.634,500
-1.49658e-09,-1.13687e-11,1.39199e-09,-179.58,499
-1.4743e-09,-1.18235e-11,1.37016e-09,-179.544,498
-1.45565e-09,-1.2733e-11,1.35152e-09,-179.514,497
-1.43292e-09,-1.31877e-11,1.32787e-09,-179.466,496
-1.41473e-09,-1.36425e-11,1.31059e-09,-179.46,495
-1.39699e-09,-1.40972e-11,1.29331e-09,-179.442,494
-1.38426e-09,-1.36425e-11,1.28012e-09,-179.448,493
-1.37016e-09,-1.31877e-11,1.26602e-09,-179.454,492
-1.35561e-09,-1.2733e-11,1.25193e-09,-179.478,491
-1.34333e-09,-1.13687e-11,1.23919e-09,-179.52,490
-1.33333e-09,-1.0914e-11,1.22919e-09,-179.544,489
-1.32605e-09,-1.00045e-11,1.22237e-09,-179.58,488
-1.32196e-09,-9.095e-12,1.21828e-09,-179.61,487
-1.32605e-09,-8.18551e-12,1.22237e-09,-179.658,486
-1.31832e-09,-7.27601e-12,1.21464e-09,-179.712,485
-1.31923e-09,-6.36649e-12,1.21555e-09,-179.742,484
-1.30832e-09,-4.5475e-12,1.20418e-09,-179.808,483
-1.30377e-09,-4.09275e-12,1.20054e-09,-179.838,482
-1.30922e-09,-3.63801e-12,1.206e-09,-179.856,481
-1.31605e-09,-4.09275e-12,1.21236e-09,-179.838,480
-1.32605e-09,-4.5475e-12,1.22328e-09,-179.814,479
-1.34424e-09,-4.09275e-12,1.24101e-09,-179.844,478
-1.35061e-09,-4.09275e-12,1.24738e-09,-179.844,477
-1.35561e-09,-5.00225e-12,1.25284e-09,-179.802,476
-1.38107e-09,-5.00225e-12,1.27921e-09,-179.778,475
-1.40017e-09,-7.73076e-12,1.2974e-09,-179.688,474
-1.42837e-09,-8.18551e-12,1.32651e-09,-179.682,473
-1.47521e-09,-9.095e-12,1.37334e-09,-179.652,472
-1.51159e-09,-1.0914e-11,1.40927e-09,-179.598,471
-1.55342e-09,-1.18235e-11,1.45247e-09,-179.574,470
-1.60254e-09,-1.40972e-11,1.50022e-09,-179.514,469
-1.67302e-09,-1.59163e-11,1.57207e-09,-179.466,468
-1.74033e-09,-1.6371e-11,1.63983e-09,-179.466,467
-1.81399e-09,-1.68258e-11,1.71395e-09,-179.478,466
-1.87994e-09,-1.6371e-11,1.77943e-09,-179.502,465
