X,Y,R,T,long
-7.19186e-10,-5.68437e-12,6.68027e-10,-179.562,601
-7.32147e-10,-6.59386e-12,6.81215e-10,-179.49,600
-7.46471e-10,-6.36649e-12,6.95312e-10,-179.526,599
-7.60568e-10,-5.68437e-12,7.09409e-10,-179.562,598
-7.74893e-10,-7.04861e-12,7.23961e-10,-179.496,597
-7.89672e-10,-6.59386e-12,7.38741e-10,-179.532,596
-8.05361e-10,-7.50339e-12,7.54429e-10,-179.466,595
-8.2014e-10,-7.73076e-12,7.68981e-10,-179.466,594
-8.3401e-10,-7.73076e-12,7.83078e-10,-179.472,593
-8.49017e-10,-8.18551e-12,7.97858e-10,-179.46,592
-8.64478e-10,-8.18551e-12,8.13547e-10,-179.472,591
-8.79485e-10,-8.18551e-12,8.28553e-10,-179.478,590
-8.94492e-10,-8.64026e-12,8.4356e-10,-179.454,589
-9.1018e-10,-8.41288e-12,8.59249e-10,-179.478,588
-9.26324e-10,-7.95813e-12,8.75392e-10,-179.514,587
-9.42471e-10,-7.50339e-12,8.91763e-10,-179.556,586
-9.59297e-10,-7.04861e-12,9.08361e-10,-179.604,585
-9.76122e-10,-7.04861e-12,9.25187e-10,-179.58,584
-9.9363e-10,-7.04861e-12,9.42698e-10,-179.61,583
-1.01182e-09,-5.91174e-12,9.60888e-10,-179.67,582
-1.02933e-09,-5.457e-12,9.78623e-10,-179.712,581
-1.04752e-09,-4.5475e-12,9.96586e-10,-179.748,580
-1.06434e-09,-5.22962e-12,1.01341e-09,-179.724,579
-1.08344e-09,-5.00225e-12,1.03274e-09,-179.748,578
-1.10391e-09,-5.22962e-12,1.05275e-09,-179.73,577
-1.12278e-09,-4.5475e-12,1.07185e-09,-179.778,576
-1.14324e-09,-4.77487e-12,1.09231e-09,-179.766,575
-1.16211e-09,-4.5475e-12,1.11118e-09,-179.778,574
-1.18167e-09,-4.77487e-12,1.13096e-09,-179.772,573
-1.20168e-09,-5.68437e-12,1.15075e-09,-179.736,572
-1.22146e-09,-5.68437e-12,1.17053e-09,-179.742,571
-1.24306e-09,-6.13912e-12,1.19213e-09,-179.724,570
-1.2633e-09,-6.82124e-12,1.21259e-09,-179.688,569
-1.2833e-09,-8.18551e-12,1.23237e-09,-179.646,568
-1.30286e-09,-8.18551e-12,1.25193e-09,-179.64,567
-1.32264e-09,-8.64026e-12,1.27171e-09,-179.634,566
-1.34288e-09,-9.32238e-12,1.29194e-09,-179.61,565
-1.36311e-09,-9.77712e-12,1.31241e-09,-179.586,564
-1.38221e-09,-1.00045e-11,1.33128e-09,-179.586,563
-1.40336e-09,-1.06866e-11,1.35243e-09,-179.568,562
-1.42177e-09,-9.77712e-12,1.37107e-09,-179.61,561
-1.44156e-09,-1.02319e-11,1.39062e-09,-179.598,560
-1.45747e-09,-1.02319e-11,1.40654e-09,-179.61,559
-1.47157e-09,-9.54975e-12,1.42018e-09,-179.628,558
-1.49021e-09,-9.095e-12,1.43951e-09,-179.652,557
-1.50226e-09,-8.86763e-12,1.45088e-09,-179.67,556
-1.51727e-09,-7.27601e-12,1.46679e-09,-179.736,555
-1.54615e-09,-6.82124e-12,1.49522e-09,-179.754,554
-1.56798e-09,-5.68437e-12,1.51704e-09,-179.802,553
-1.58867e-09,-5.00225e-12,1.53796e-09,-179.826,552
-1.61027e-09,-4.32013e-12,1.55934e-09,-179.85,551
-1.62027e-09,-4.32013e-12,1.56843e-09,-179.85,550
-1.63755e-09,-3.18325e-12,1.58639e-09,-179.886,549
-1.6521e-09,-2.95587e-12,1.6014e-09,-179.904,548
-1.67211e-09,-3.18325e-12,1.62118e-09,-179.898,547
-1.68621e-09,-3.18325e-12,1.63505e-09,-179.898,546
-1.70076e-09,-3.18325e-12,1.64983e-09,-179.886,545
-1.7144e-09,-4.5475e-12,1.66325e-09,-179.85,544
-1.72555e-09,-4.5475e-12,1.6737e-09,-179.85,543
